Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
add employee,Chrome 68.0.3440.106,,2018-08-23 13:50:56,2018-08-23 13:51:29,33.208s,PASSED
,,,,,,
Test Cases/login logout/login,Chrome 68.0.3440.106,"login as 
username : admin 
password : admin123",2018-08-23 13:50:56,2018-08-23 13:51:20,23.882s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-23 13:50:57,2018-08-23 13:51:11,14.727s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 13:51:11,2018-08-23 13:51:12,0.835s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 13:51:12,2018-08-23 13:51:13,0.249s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 13:51:13,2018-08-23 13:51:20,7.452s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-23 13:51:20,2018-08-23 13:51:20,0.171s,PASSED
,,,,,,
Test Cases/add employee/add employee,Chrome 68.0.3440.106,without create login,2018-08-23 13:51:20,2018-08-23 13:51:27,6.537s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-23 13:51:21,2018-08-23 13:51:21,0.471s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 13:51:21,2018-08-23 13:51:23,1.540s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 13:51:23,2018-08-23 13:51:23,0.818s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 13:51:23,2018-08-23 13:51:24,0.250s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 13:51:24,2018-08-23 13:51:24,0.228s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 13:51:24,2018-08-23 13:51:27,2.858s,PASSED
,,,,,,
Test Cases/login logout/logout,Chrome 68.0.3440.106,logout,2018-08-23 13:51:27,2018-08-23 13:51:29,2.228s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 13:51:27,2018-08-23 13:51:27,0.153s,PASSED
scrollToElement,Chrome 68.0.3440.106,,2018-08-23 13:51:27,2018-08-23 13:51:27,0.102s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 13:51:27,2018-08-23 13:51:28,0.802s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-23 13:51:28,2018-08-23 13:51:29,0.777s,PASSED
