Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
search employee,Chrome 68.0.3440.106,,2018-08-23 14:20:32,2018-08-23 14:20:55,22.455s,PASSED
,,,,,,
Test Cases/login logout/login,Chrome 68.0.3440.106,"login as 
username : admin 
password : admin123",2018-08-23 14:20:33,2018-08-23 14:20:48,15.495s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-23 14:20:33,2018-08-23 14:20:43,10.275s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 14:20:43,2018-08-23 14:20:44,0.442s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 14:20:44,2018-08-23 14:20:44,0.330s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 14:20:44,2018-08-23 14:20:46,2.217s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-23 14:20:46,2018-08-23 14:20:48,1.812s,PASSED
,,,,,,
Test Cases/pim - employee list/search employee,Chrome 68.0.3440.106,,2018-08-23 14:20:48,2018-08-23 14:20:52,3.927s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-23 14:20:49,2018-08-23 14:20:49,0.277s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 14:20:49,2018-08-23 14:20:50,1.346s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 14:20:50,2018-08-23 14:20:51,0.775s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 14:20:51,2018-08-23 14:20:52,1.139s,PASSED
,,,,,,
Test Cases/login logout/logout,Chrome 68.0.3440.106,logout,2018-08-23 14:20:52,2018-08-23 14:20:55,2.433s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 14:20:53,2018-08-23 14:20:53,0.192s,PASSED
scrollToElement,Chrome 68.0.3440.106,,2018-08-23 14:20:53,2018-08-23 14:20:53,0.153s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 14:20:53,2018-08-23 14:20:54,1.026s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-23 14:20:54,2018-08-23 14:20:55,0.752s,PASSED
